langpair,ld_cosine,hd_cosine,ld_euclidean,hd_euclidean,syntactic,phono,inventory,featural,ld_lfe,hd_lfe,genetic,geographic,hd_lda_euclidean,hd_lda_cosine,hd_lid,hd_lp-400_euclidean,hd_lda_lp-400_euclidean,jaccard_phoible,vec_phoible,hd_nd_euclidean,hd_lda_nd_euclidean,hd_lp-100_euclidean,hd_lda_lp-100_euclidean,ld_sig,hd_sig
fa-fr,-0.1989455223,-0.1586514860,2.1482489109,2.6896648407,0.5700000000,0.5456000000,0.6025000000,0.6000000000,4.3414258001,12.6275855887,1.0000000000,1.0000000000,3.7999300957,0.0555008613,0.5347529195,2.5689525604,3.5195977688,0.7647058824,0.0210096889,2.0243544579,2.7819344997,2.3153471947,3.0081408024,0.0000000000,1.0000000000
fa-it,-0.1928531379,-0.1491256505,2.1798412800,2.7394137383,0.6100000000,0.0002000000,0.6737000000,0.7000000000,7.2366751598,5.7121497180,1.0000000000,1.0000000000,3.8826410770,-0.1224313751,0.5491074974,2.6177828312,3.5946896076,0.7708333333,0.0290976460,1.9160010815,2.5360448360,2.3513326645,3.0591871738,1.0000000000,0.0000000000
fa-kab,-0.2544513345,-0.1929366291,2.2746238708,2.6638500690,0.7700000000,0.0002000000,0.6880000000,0.7000000000,4.6977406277,11.9154447982,1.0000000000,1.0000000000,3.9664003849,-0.1693963557,0.5327213688,2.5937948227,3.7701382637,0.7959183673,0.0339663988,2.0908136368,2.8760571480,2.4169764519,3.3143119812,1.0000000000,1.0000000000
fa-rw,-0.0457282811,-0.0556956194,2.6085102558,2.9566373825,0.7400000000,0.0002000000,0.6552000000,0.7000000000,-12.8564922648,15.2585288322,1.0000000000,1.0000000000,4.4287509918,-0.1125740856,0.5579737834,2.8492727280,4.1381964684,0.7000000000,0.0199061337,2.3095996380,3.2893230915,2.6298213005,3.6242096424,-1.0000000000,1.0000000000
fr-it,0.0732126459,0.0013315495,1.8743450642,2.5862917900,0.5500000000,0.5456000000,0.4379000000,0.5000000000,9.7323032802,2.6835788751,0.5625000000,0.0000000000,3.4313604832,-0.1028368846,0.5411036837,2.5188679695,3.3117816448,0.4761904762,0.0240023417,2.1057987213,2.8733255863,2.2720487118,2.8710086346,1.0000000000,0.0000000000
fr-kab,-0.0070582572,-0.0461137295,1.9897855520,2.5289349556,0.6900000000,0.5456000000,0.6622000000,0.7000000000,3.6866688549,16.2144542902,1.0000000000,0.1000000000,3.5053868294,-0.1855869591,0.5464327701,2.4393620491,3.3019492626,0.8148148148,0.0484043365,1.9896684885,2.6608352661,2.2031717300,2.8403167725,0.0000000000,1.0000000000
fr-rw,-0.1275276989,-0.1246383041,2.6584587097,3.0797481537,0.7100000000,0.5456000000,0.4336000000,0.6000000000,-7.2010381723,28.7100659820,1.0000000000,0.3000000000,4.6537346840,-0.2295977920,0.5451309574,2.9704325199,4.3457212448,0.6393442623,0.0231660232,2.6516087055,3.8616230488,2.7630889416,3.8635385036,-1.0000000000,1.0000000000
it-kab,-0.2034783810,-0.1845238060,2.2117383480,2.7529864311,0.7400000000,0.0002000000,0.6511000000,0.7000000000,5.9399040303,12.5545456853,1.0000000000,0.0000000000,3.9578623772,0.0065332484,0.5520890229,2.6593775749,3.7272956371,0.7500000000,0.0511824324,2.1773571968,2.9816913605,2.4552171230,3.2913894653,1.0000000000,1.0000000000
it-rw,-0.1460922658,-0.1164763793,2.7088069916,3.1222608089,0.8000000000,0.0002000000,0.4592000000,0.6000000000,-0.3775422253,27.9735744138,1.0000000000,0.3000000000,4.7160577774,-0.2030800283,0.5521344230,3.0151906013,4.4150562286,0.5892857143,0.0303487845,2.5604398251,3.6768569946,2.7981605530,3.8968009949,0.0000000000,1.0000000000
kab-rw,-0.0862000808,-0.1078163236,2.6721909046,3.0016031265,0.7100000000,0.0002000000,0.6109000000,0.6000000000,-7.4123358270,31.0354373421,1.0000000000,0.2000000000,4.6376852989,-0.0794176459,0.5513116767,2.9192664623,4.3904194832,0.7460317460,0.0366062265,2.6399652958,3.8842554092,2.7296612263,3.8827304840,-1.0000000000,1.0000000000
