langpair,hd_lda_euclidean,syntactic,phono,featural,genetic,geographic,jaccard_phoible,vec_phoible
pl-ar,3.073800087,0.6,,,,,,
pl-cy,3.39467001,0.48,,,,,,
pl-en,2.878471136,0.59,,,,,,
pl-eo,3.190581799,0.64,,,,,,
pl-es,3.269992828,0.55,,,,,,
pl-fa,2.824517965,0.6,,,,,,
pl-fr,2.749321222,0.56,,,,,,
pl-fy-NL,3.502104521,0.6,,,,,,
pl-it,2.946695089,0.4,,,,,,
pl-nl,2.994377136,0.53,,,,,,
pl-pt,2.792481422,0.42,,,,,,
pl-ru,2.484137297,0.47,,,,,,
pl-rw,4.495807648,0.75,,,,,,
pl-sv-SE,2.786084175,0.58,,,,,,
pl-tr,2.40457654,0.68,,,,,,
ru-pt,2.742571115,0.5,,,,,,
rw-pt,3.852108002,0.8,,,,,,
rw-ru,4.493697643,0.79,,,,,,
sv-SE-pt,2.703958035,0.47,,,,,,
sv-SE-ru,3.162013292,0.56,,,,,,
sv-SE-rw,4.361238003,0.75,,,,,,
sv-SE-tr,2.791054964,0.73,,,,,,
ta-ar,3.270864248,0.66,,,,,,
ta-cy,4.181157589,0.84,,,,,,
ta-en,3.90951848,0.71,,,,,,
ta-eo,3.735269785,0.84,,,,,,
ta-es,3.596693277,0.74,,,,,,
ta-eu,3.94737649,0.64,,,,,,
ta-fa,3.974647999,0.66,,,,,,
ta-fr,3.867277145,0.71,,,,,,
ta-fy-NL,4.368756294,0.73,,,,,,
ta-it,3.693514347,0.75,,,,,,
ta-kab,3.887315512,0.96,,,,,,
ta-nl,4.491484165,0.71,,,,,,
ta-pl,4.344588757,0.69,,,,,,
ta-pt,3.639214277,0.77,,,,,,
ta-ru,4.302343369,0.66,,,,,,
ta-rw,4.331305027,0.81,,,,,,
ta-sv-SE,3.889385462,0.73,,,,,,
ta-tr,3.735388756,0.56,,,,,,
ta-uk,3.948993444,0.66,,,,,,
ta-zh-CN,4.876441479,0.66,,,,,,
tr-pt,2.693347216,0.69,,,,,,
tr-ru,2.754557371,0.63,,,,,,
tr-rw,4.284054279,0.82,,,,,,
tt-ar,2.9314064980,0.6900000000,,,,,,
tt-ca,3.1487653255,0.7500000000,,,,,,
tt-cs,3.2820498943,0.5700000000,,,,,,
tt-cy,3.4805080891,0.7900000000,,,,,,
tt-de,3.5248537064,0.6500000000,,,,,,
tt-en,3.2943947315,0.7500000000,,,,,,
tt-eo,3.4116981030,0.8200000000,,,,,,
tt-es,3.2794682980,0.7300000000,,,,,,
tt-eu,3.2827048302,0.6300000000,,,,,,
tt-fa,3.1324110031,0.6900000000,,,,,,
tt-fr,3.1879968643,0.7000000000,,,,,,
tt-fy-NL,3.4590165615,0.6700000000,,,,,,
tt-it,3.2468788624,0.6800000000,,,,,,
tt-kab,3.2226815224,0.9600000000,,,,,,
tt-nl,3.5246090889,0.6600000000,,,,,,
tt-pl,3.2099499702,0.6300000000,,,,,,
tt-pt,3.3135211468,0.7000000000,,,,,,
tt-ru,3.2483015060,0.6600000000,,,,,,
tt-rw,4.3424258232,0.8600000000,,,,,,
tt-sv-SE,3.0997085571,0.7100000000,,,,,,
tt-ta,3.9104530811,0.5300000000,,,,,,
tt-tr,2.8942134380,0.5100000000,,,,,,
tt-uk,3.0011022091,0.6200000000,,,,,,
tt-zh-CN,4.7146191597,0.6900000000,,,,,,
uk-ar,2.916359186,0.61,,,,,,
uk-cy,3.323669434,0.55,,,,,,
uk-en,2.869508266,0.51,,,,,,
uk-eo,3.092790127,0.67,,,,,,
uk-es,3.229146004,0.52,,,,,,
uk-eu,3.480629444,0.65,,,,,,
uk-fa,2.828648329,0.61,,,,,,
uk-fr,2.744162321,0.5,,,,,,
uk-fy-NL,3.065944195,0.59,,,,,,
uk-it,2.932975769,0.45,,,,,,
uk-kab,3.063261986,0.77,,,,,,
uk-nl,3.184617281,0.47,,,,,,
uk-pl,2.521781445,0.37,,,,,,
uk-pt,2.699716091,0.44,,,,,,
uk-ru,2.279220819,0.37,,,,,,
uk-rw,4.241454601,0.77,,,,,,
uk-sv-SE,3.03250885,0.51,,,,,,
uk-tr,2.48299098,0.69,,,,,,
uk-zh-CN,4.371991158,0.61,,,,,,
zh-CN-ar,4.057457447,0,,,,,,
zh-CN-cy,4.106142998,0.63,,,,,,
zh-CN-en,3.872753382,0.57,,,,,,
zh-CN-eo,4.084941864,0.74,,,,,,
zh-CN-es,4.341828823,0.56,,,,,,
zh-CN-fa,3.965776682,0,,,,,,
zh-CN-fr,4.218843937,0.57,,,,,,
zh-CN-fy-NL,4.855866432,0.71,,,,,,
zh-CN-it,4.228152275,0.61,,,,,,
zh-CN-nl,4.188415051,0.63,,,,,,
zh-CN-pl,4.082431316,0.6,,,,,,
zh-CN-pt,4.107201576,0.61,,,,,,
zh-CN-ru,4.609295845,0.57,,,,,,
zh-CN-rw,4.860494614,0.74,,,,,,
zh-CN-sv-SE,4.155873775,0.64,,,,,,
zh-CN-tr,4.144946575,0.55,,,,,,
